"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"gabpa",4526.93163419131,-10.7678486845479,0.833524477283151,6.41167048029634e-40,4.66064327212741e-36,"Ab_vs_Mz","Mz higher"
"gpr174",13450.2662524996,-11.2374324321173,0.937547553704297,4.71318930776857e-33,1.71300865390849e-29,"Ab_vs_Mz","Mz higher"
"nfe2",3529.41115659414,12.4402840011269,1.16355368020266,7.40480610458961e-27,1.79418451914206e-23,"Ab_vs_Mz","Ab higher"
"slc25a12",964.331266481056,-8.01215500549449,0.838304784745053,5.17106877239979e-23,9.39712472664351e-20,"Ab_vs_Mz","Mz higher"
"fkbp3",26651.3350192204,-19.7143240633477,4.18017293088075,5.2517274954797e-22,7.63496143292839e-19,"Ab_vs_Mz","Mz higher"
"pcsk2",11756.7239825063,13.121351208025,1.45223880476971,1.88636273383223e-20,2.28532845203775e-17,"Ab_vs_Mz","Ab higher"
"atg13",514.009152076064,9.96565451299723,1.15332430995204,6.23009431884683e-19,6.46950794338537e-16,"Ab_vs_Mz","Ab higher"
"tnip1",850.521763369094,-8.23757953619425,0.970395883417074,1.11226562357752e-18,1.01063235222313e-15,"Ab_vs_Mz","Mz higher"
"prpf31",530.648338838235,-9.4600469919732,1.13585046122564,9.08375854324104e-18,7.33664898342434e-15,"Ab_vs_Mz","Mz higher"
"nol7",817.945813633729,9.67107046021065,1.18660949345512,1.31166003189905e-17,9.53445677187418e-15,"Ab_vs_Mz","Ab higher"
"rbm25b",337.425387646976,7.46943368223337,0.914911272229475,2.05423164401899e-17,1.357473620034e-14,"Ab_vs_Mz","Ab higher"
"mcee",3311.68995499101,17.5984385657289,3.43806538542427,2.40564412705386e-17,1.45721892996288e-14,"Ab_vs_Mz","Ab higher"
"rhot2",1916.97126374129,-15.1462943233517,3.64329277280992,1.01354870286993e-16,5.66729655473964e-14,"Ab_vs_Mz","Mz higher"
"sh3d19",3635.09184327507,17.8023929672125,3.567650484525,1.47170813283833e-16,7.64131886971557e-14,"Ab_vs_Mz","Ab higher"
"ddx49",733.542089420192,9.2939947038982,1.17191033025765,2.78839127791161e-16,1.28083946456583e-13,"Ab_vs_Mz","Ab higher"
